id;name;state;description;aprefix;alength
1;Cambridgeshire;47672;Solutions Berkshire Plastic;51629;94468
2;Malta Refined Cotton Bike Hills;53261;Investment Account users;20761;5812
3;Chair;38554;Bike FTP functionalities;47967;54892
4;New Hampshire Incredible Plastic Computer;98076;Ville Pizza;92932;89879
5;West Virginia;65865;Tugrik value-added invoice;45602;57008
6;Cotton Towels deposit;47230;Fantastic Rubber Shirt;144;31577
7;Investor;98388;monitor;12164;50140
8;viral;67981;Function-based content;26162;35112
9;Grocery withdrawal;64362;Executive Senior;18883;2185
10;Soap;2420;pixel Producer Cambridgeshire;40065;86154
